PID,Test,DIE_X,DIE_Y,TEMPERATURE_VE__3.3,FreqOut_VE__3.3,Pout_VE__3.3,Icc_VE__3.3,PhaseNoise_1K_VE__3.3,PhaseNoise_800K_VE__3.3
PID-580,T1A,-21,37,0,-3594.98942556,-6.22401565551758,9.14400196075439,-77.0894012451172,-139.626373291016
PID-580,T1B,-21,37,0,-3596.2999964,-6.23774475097656,9.13687515258789,-77.7620162963867,-139.209426879883
PID-580,T2A,-21,37,0,-6388.28394603,-6.30948394775391,9.15199089050293,-69.9805145263672,-141.042083740234
PID-580,T1B-T1A
PID-580,T2A-T1A,,,,-2793.29452047,,,,
PID-436,T1A,-11,16,0,-2402.65079803,-5.58224910736084,9.46812438964844,-75.7708587646484,-143.421920776367
PID-436,T1B,-11,16,0,-2402.46357362,-5.58581394195557,9.47211837768555,-75.9658508300781,-143.0126953125
PID-436,T2A,-11,16,0,-2986.04204611,-7.2286848449707,9.55941200256348,-68.6344757080078,-142.296447753906
PID-436,T1B-T1A
PID-436,T2A-T1A,,,,,-1.64643573761,0.091287612915,,
PID-193,T1A,-21,-18,0,-573.281130176,-5.81495088577271,9.63164329528809,-77.5160827636719,-144.74333190918
PID-193,T1B,-21,-18,0,-573.000293566,-5.81044095993042,9.63256072998047,-74.7027282714844,-148.037704467773
PID-193,T2A,-21,-18,0,-638.716059958,-5.86831897735596,9.61933422088623,-74.2408447265625,-144.816009521484
PID-193,T1B-T1A,,,,,,,,-3.29437255859
PID-193,T2A-T1A
PID-83,T1A,-34,-33,0,-705.180723972,-6.09581941604614,9.37640380859375,-75.4844512939453,-136.686248779297
PID-83,T1B,-34,-33,0,-702.372357887,-6.26511520385742,9.39875411987305,-75.9413833618164,-137.186920166016
PID-83,T2A,-34,-33,0,-701.997909076,-6.3270153427124,9.39465236663818,-75.801513671875,-137.081756591797
PID-83,T1B-T1A,,,,,-0.169295787811,,,
PID-83,T2A-T1A
PID-84,T1A,-33,-33,0,924.607727427,-6.76747888565063,9.46542358398438,-74.8734283447266,-139.402633666992
PID-84,T1B,-33,-33,0,929.288337569,-6.9456619644165,9.48950099945068,-75.4896697998047,-140.540435791016
PID-84,T2A,-33,-33,0,930.130847393,-7.01010841369629,9.47875881195068,-77.0662231445313,-140.321365356445
PID-84,T1B-T1A,,,,4.68061014187,-0.178183078766,,,
PID-84,T2A-T1A
PID-82,T1A,-35,-33,0,-4007.91285228,-5.68100065231323,9.35308265686035,-76.4491729736328,-138.864471435547
PID-82,T1B,-35,-33,0,-4005.85338382,-5.84261268615723,9.37624263763428,-77.5308227539063,-139.654800415039
PID-82,T2A,-35,-33,0,-4005.1044862,-5.90226072311401,9.36679553985596,-77.1171569824219,-139.218551635742
PID-82,T1B-T1A,,,,,-0.161612033844,,,
PID-82,T2A-T1A
PID-370,T1A,-33,9,0,863.104510161,-6.8549284362793,9.38261222839355,-77.1422119140625,-145.876358032227
PID-370,T1B,-33,9,0,863.666183378,-6.85357851028442,9.39313888549805,-78.5570831298828,-149.666595458984
PID-370,T2A,-33,9,0,861.606714916,-6.91363805770874,9.374192237854,-76.4356155395508,-147.312713623047
PID-370,T1B-T1A,,,,,,,,-3.79023742676
PID-370,T2A-T1A
PID-81,T1A,-35,-34,0,-971.039380031,-5.9276389503479,9.36814498901367,-77.7271347045898,-141.789505004883
PID-81,T1B,-35,-34,0,-968.32462615,-6.09612888336182,9.38612174987793,-78.1464920043945,-142.947860717773
PID-81,T2A,-35,-34,0,-968.32462615,-6.157857837677,9.38169479370117,-78.9429321289063,-142.308654785156
PID-81,T1B-T1A,,,,,-0.168489933014,,,
PID-81,T2A-T1A
