--- Global Info:,
Date,2012_12_14 12:50:12
SetupTime,2012_12_14 12:48:59
StartTime,2012_12_14 12:49:59
FinishTime,
ProgramName,PANORMO.cs
ProgramRevision,V1.0
Lot,2033
SubLot,PostHAST
Wafer,12
WaferOrientation,NA
TesterName,3SC7HN1
TesterType,SmartCoWi
Product,panormo
Operator,Frank
ExecType,Avago.ATF.UIs
ExecRevision,2.1.0.0
RtstCode,
PackageType,Production
Family,panormo
SpecName,TestLimits_Panormo.csv
SpecVersion,V1.0
FlowID,
DesignRevision,
--- Site details:,Head #1
Testing sites,
Handler ID,WaferHandler001
Handler type,StripHandlerWafer
LoadBoardName,1
--- Options:,
UnitsMode,normalized
--- ConditionName:,PANORMO.xls
EMAIL_ADDRESS,
Translator,CSV_CLOTHO_V01
Wafer_Diameter,
Facility,AseKr Facilities
HostIpAddress,10.10.46.98
Temperature,
PcbLot,34
AssemblyLot,
VerificationUnit,

#CF,Correlation_Panormo.csv,,,,,,,,,,,,(+) 1.06,,,,,,,,,,,,,,
Parameter,SBIN,HBIN,DIE_X,DIE_Y,SITE,TIME,TOTAL_TESTS,LOT_ID,WAFER_ID,VCC_VE__3.3,TEMPERATURE_VE__3.3,FreqOut_VE__3.3,Pout_VE__3.3,Icc_VE__3.3,PhaseNoise_1K_VE__3.3,PhaseNoise_10K_VE__3.3,PhaseNoise_100K_VE__3.3,PhaseNoise_800K_VE__3.3,PhaseNoise_3M_VE__3.3,PhaseNoise_10M_VE__3.3,Jitter_VE__3.3,PassFail,TimeStamp, IndexTime, PartSN, SWBinName, HWBinName
Tests#,,,,,,,,,,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,
Patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,,,,,Sec,,,,V,C,MHz,dBm,mA,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,dBc/Hz,fs,,,Sec,,,
HighL,,,,,,,,,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,,,,,,
LowL,,,,,,,,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,
PID-1,1,1,2,-63,1,12.832,12,,,3.29999995231628,0,2594.07153320313,-5.70165342330933,9.53231143951416,-71.6072006225586,-104.481925964355,-126.307960510254,-144.216125488281,-152.614471435547,-154.202545166016,42.1227111816406,1,2012_12_14 12:50:12,0.001, Sim-StriHandler-NA, PASS, Bin1
PID-2,1,1,15,-61,1,9.653,12,,,3.29999995231628,0,2602.58642578125,-6.36116785049438,9.60977840423584,-78.0040283203125,-102.042839050293,-122.872367858887,-140.856414794922,-150.579086303711,-156.448028564453,57.9200668334961,1,2012_12_14 12:50:22,0.379, Sim-StriHandler-NA, PASS, Bin1
PID-3,1,1,9,-60,1,9.611,12,,,3.29999995231628,0,2603.5068359375,-6.44572061538696,9.50483226776123,-70.0431365966797,-94.0634384155273,-114.25545501709,-132.674392700195,-144.170196533203,-154.033340454102,153.038055419922,1,2012_12_14 12:50:32,0.294, Sim-StriHandler-NA, PASS, Bin1
PID-4,1,1,15,-60,1,9.611,12,,,3.29999995231628,0,2604.962890625,-6.37290996551514,9.51692581176758,-71.8054428100586,-94.2753829956055,-115.023864746094,-133.334732055664,-144.79296875,-154.32438659668,139.48828125,1,2012_12_14 12:50:42,0.29, Sim-StriHandler-NA, PASS, Bin1
PID-5,1,1,15,-59,1,9.653,12,,,3.29999995231628,0,2596.89379882813,-5.97900671005249,9.47713851928711,-71.5665664672852,-93.2050476074219,-113.740074157715,-131.721084594727,-142.65983581543,-151.688766479492,164.00944519043,1,2012_12_14 12:50:52,0.226, Sim-StriHandler-NA, PASS, Bin1
PID-6,1,1,13,-59,1,9.607,12,,,3.29999995231628,0,2608.68579101563,-7.37282413482666,9.52372741699219,-76.372688293457,-100.774421691895,-121.13272857666,-139.442306518555,-149.527069091797,-156.971328735352,68.9626007080078,1,2012_12_14 12:51:02,0.275, Sim-StriHandler-NA, PASS, Bin1
PID-7,1,1,-1,-57,1,9.641,12,,,3.29999995231628,0,2601.67626953125,-6.46445125579834,9.47341442108154,-71.998161315918,-107.338478088379,-129.428924560547,-145.670013427734,-152.57160949707,-155.844177246094,29.8495712280273,1,2012_12_14 12:51:12,0.365, Sim-StriHandler-NA, PASS, Bin1
