FtC_X,FtC_Y,FtC_DieID,DieLabel
51,7,AHBZ,H1_IB_b
69,7,AHCR,H1_IB_b
87,7,AHDJ,H1_IB_b
92,9,AJDO,H1_IB_a
74,9,AJCW,H1_IB_a
56,9,AJCE,H1_IB_a
41,10,AKBP,H1_IB_d
47,10,AKBV,H1_IB_b
53,10,AKCB,H1_IB_d
59,10,AKCH,H1_IB_d
65,10,AKCN,H1_IB_b
71,10,AKCT,H1_IB_d
77,10,AKCZ,H1_IB_d
83,10,AKDF,H1_IB_b
89,10,AKDL,H1_IB_d
95,10,AKDR,H1_IB_d
101,10,AKDX,H1_IB_b
90,11,ALDM,H1_IB_b
72,11,ALCU,H1_IB_b
54,11,ALCC,H1_IB_b
36,11,ALBK,H1_IB_b
51,12,AMBZ,H1_IB_d
69,12,AMCR,H1_IB_d
87,12,AMDJ,H1_IB_d
105,12,AMEB,H1_IB_d
105,13,ANEB,H1_IB_b
99,13,ANDV,H1_IB_d
87,13,ANDJ,H1_IB_b
81,13,ANDD,H1_IB_d
69,13,ANCR,H1_IB_b
63,13,ANCL,H1_IB_d
51,13,ANBZ,H1_IB_b
45,13,ANBT,H1_IB_d
33,14,AOBH,H1_IB_a
43,14,AOBR,H1_IB_a
44,14,AOBS,H1_IB_b
45,14,AOBT,H1_IB_c
51,14,AOBZ,H1_IB_a
61,14,AOCJ,H1_IB_a
62,14,AOCK,H1_IB_b
63,14,AOCL,H1_IB_c
69,14,AOCR,H1_IB_a
79,14,AODB,H1_IB_a
80,14,AODC,H1_IB_b
81,14,AODD,H1_IB_c
87,14,AODJ,H1_IB_a
97,14,AODT,H1_IB_a
98,14,AODU,H1_IB_b
99,14,AODV,H1_IB_c
105,14,AOEB,H1_IB_a
113,17,AREJ,H1_IB_b
107,17,ARED,H1_IB_b
95,17,ARDR,H1_IB_b
89,17,ARDL,H1_IB_b
77,17,ARCZ,H1_IB_b
71,17,ARCT,H1_IB_b
59,17,ARCH,H1_IB_b
53,17,ARCB,H1_IB_b
41,17,ARBP,H1_IB_b
35,17,ARBJ,H1_IB_b
33,20,AUBH,H1_IB_d
39,20,AUBN,H1_IB_d
45,20,AUBT,H1_IB_d
51,20,AUBZ,H1_IB_d
57,20,AUCF,H1_IB_d
63,20,AUCL,H1_IB_d
69,20,AUCR,H1_IB_d
75,20,AUCX,H1_IB_d
81,20,AUDD,H1_IB_d
87,20,AUDJ,H1_IB_d
93,20,AUDP,H1_IB_d
99,20,AUDV,H1_IB_d
105,20,AUEB,H1_IB_d
111,20,AUEH,H1_IB_d
116,21,AVEM,H1_IB_b
115,21,AVEL,H1_IB_a
111,21,AVEH,H1_IB_c
110,21,AVEG,H1_IB_b
109,21,AVEF,H1_IB_a
105,21,AVEB,H1_IB_c
104,21,AVEA,H1_IB_b
103,21,AVDZ,H1_IB_a
99,21,AVDV,H1_IB_c
98,21,AVDU,H1_IB_b
97,21,AVDT,H1_IB_a
93,21,AVDP,H1_IB_c
92,21,AVDO,H1_IB_b
91,21,AVDN,H1_IB_a
87,21,AVDJ,H1_IB_c
86,21,AVDI,H1_IB_b
85,21,AVDH,H1_IB_a
81,21,AVDD,H1_IB_c
80,21,AVDC,H1_IB_b
79,21,AVDB,H1_IB_a
75,21,AVCX,H1_IB_c
74,21,AVCW,H1_IB_b
73,21,AVCV,H1_IB_a
69,21,AVCR,H1_IB_c
68,21,AVCQ,H1_IB_b
67,21,AVCP,H1_IB_a
63,21,AVCL,H1_IB_c
62,21,AVCK,H1_IB_b
61,21,AVCJ,H1_IB_a
57,21,AVCF,H1_IB_c
56,21,AVCE,H1_IB_b
55,21,AVCD,H1_IB_a
51,21,AVBZ,H1_IB_c
50,21,AVBY,H1_IB_b
49,21,AVBX,H1_IB_a
45,21,AVBT,H1_IB_c
44,21,AVBS,H1_IB_b
43,21,AVBR,H1_IB_a
39,21,AVBN,H1_IB_c
38,21,AVBM,H1_IB_b
37,21,AVBL,H1_IB_a
33,21,AVBH,H1_IB_c
32,21,AVBG,H1_IB_b
31,21,AVBF,H1_IB_a
27,21,AVBB,H1_IB_c
37,22,AWBL,H1_IB_b
38,22,AWBM,H1_IB_d
55,22,AWCD,H1_IB_b
56,22,AWCE,H1_IB_d
73,22,AWCV,H1_IB_b
74,22,AWCW,H1_IB_d
91,22,AWDN,H1_IB_b
92,22,AWDO,H1_IB_d
109,22,AWEF,H1_IB_b
110,22,AWEG,H1_IB_d
107,24,AYED,H1_IB_d
101,24,AYDX,H1_IB_b
89,24,AYDL,H1_IB_d
83,24,AYDF,H1_IB_b
